pic,sound,c1,c2,c3,c4,answerNum,answer,marker,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,intro.keys,intro.rt,Answer1.keys,Answer1.rt,EmpAnswer.keys,EmpAnswer.rt,date,frameRate,expName,session,participant
,,,,,,,,,,,,,space,335.5472279,,,,,2018_Nov_19_1546,59.73932525,HeartBeat2_2,1,Participant 9
eyes1.png,heart120_1.wav,playful,comforting,irritated,bored,1,playful,120',0,0,0,0,,,1,8.754563093,4,7.149073839,2018_Nov_19_1546,59.73932525,HeartBeat2_2,1,Participant 9
eyes3.png,silence.wav,joking,flustered,desire,convinced,3,desire,Silence,0,1,1,1,,,3,11.001297,1,2.899084091,2018_Nov_19_1546,59.73932525,HeartBeat2_2,1,Participant 9
eyes5.png,heart120_1.wav,irritated,sarcastic,worried,friendly,3,worried,120',0,2,2,2,,,3,4.999168873,3,3.880143166,2018_Nov_19_1546,59.73932525,HeartBeat2_2,1,Participant 9
eyes6.png,heart60_2.wav,aghast,fantasizing,impatient,alarmed,2,fantasizing,60',0,3,3,3,,,2,9.573434114,2,3.183809996,2018_Nov_19_1546,59.73932525,HeartBeat2_2,1,Participant 9
eyes7.png,silence.wav,apologetic,friendly,uneasy,dispirited,3,uneasy,Silence,0,4,4,4,,,3,6.367811918,1,7.10048008,2018_Nov_19_1546,59.73932525,HeartBeat2_2,1,Participant 9
eyes10.png,heart120_1.wav,cautious,insisting,bored,aghast,1,cautious,120',0,5,5,5,,,1,6.599196911,3,2.586238861,2018_Nov_19_1546,59.73932525,HeartBeat2_2,1,Participant 9
eyes15.png,heart120_1.wav,contemplative,flustered,encouraging,amused,1,contemplative,120',0,6,6,6,,,1,10.33364201,2,6.900676012,2018_Nov_19_1546,59.73932525,HeartBeat2_2,1,Participant 9
eyes17.png,heart60_2.wav,doubtful,affectionate,playful,aghast,1,doubtful,60',0,7,7,7,,,None,,3,8.265422106,2018_Nov_19_1546,59.73932525,HeartBeat2_2,1,Participant 9
eyes18.png,heart60_2.wav,amused,decisive,aghast,bored,2,decisive,60',0,8,8,8,,,2,6.691588163,3,4.615720987,2018_Nov_19_1546,59.73932525,HeartBeat2_2,1,Participant 9
eyes20.png,silence.wav,dominant,horrified,guilty,friendly,4,friendly,Silence,0,9,9,9,,,4,4.962184906,1,3.435578823,2018_Nov_19_1546,59.73932525,HeartBeat2_2,1,Participant 9
eyes7.png,heart60_2.wav,apologetic,friendly,uneasy,dispirited,3,uneasy,60',0,10,10,10,,,3,4.102584839,4,2.042492151,2018_Nov_19_1546,59.73932525,HeartBeat2_2,1,Participant 9
