Sound,marker,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,intro.keys,intro.rt,EndKey.keys,EndKey.rt,date,frameRate,expName,session,participant,
,,,,,,space,243.175096035,,,2018_Oct_25_1624,59.596551778,HeartBeat1,001,Walter,
heart120.wav,120,0,0,0,0,,,,,2018_Oct_25_1624,59.596551778,HeartBeat1,001,Walter,
heart120.wav,120,0,1,1,0,,,,,2018_Oct_25_1624,59.596551778,HeartBeat1,001,Walter,
heart120.wav,120,1,0,2,0,,,,,2018_Oct_25_1624,59.596551778,HeartBeat1,001,Walter,
heart120.wav,120,1,1,3,0,,,,,2018_Oct_25_1624,59.596551778,HeartBeat1,001,Walter,
heart60_1.wav,60,2,0,4,1,,,,,2018_Oct_25_1624,59.596551778,HeartBeat1,001,Walter,
heart60_1.wav,60,2,1,5,1,,,,,2018_Oct_25_1624,59.596551778,HeartBeat1,001,Walter,
heart60_1.wav,60,3,0,6,1,,,,,2018_Oct_25_1624,59.596551778,HeartBeat1,001,Walter,
heart120.wav,120,3,1,7,0,,,,,2018_Oct_25_1624,59.596551778,HeartBeat1,001,Walter,
heart60_1.wav,60,4,0,8,1,,,,,2018_Oct_25_1624,59.596551778,HeartBeat1,001,Walter,
heart120.wav,120,4,1,9,0,,,,,2018_Oct_25_1624,59.596551778,HeartBeat1,001,Walter,
heart120.wav,120,5,0,10,0,,,,,2018_Oct_25_1624,59.596551778,HeartBeat1,001,Walter,
heart60_1.wav,60,5,1,11,1,,,,,2018_Oct_25_1624,59.596551778,HeartBeat1,001,Walter,
heart120.wav,120,6,0,12,0,,,,,2018_Oct_25_1624,59.596551778,HeartBeat1,001,Walter,
heart120.wav,120,6,1,13,0,,,,,2018_Oct_25_1624,59.596551778,HeartBeat1,001,Walter,
heart60_1.wav,60,7,0,14,1,,,,,2018_Oct_25_1624,59.596551778,HeartBeat1,001,Walter,
heart60_1.wav,60,7,1,15,1,,,,,2018_Oct_25_1624,59.596551778,HeartBeat1,001,Walter,
heart120.wav,120,8,0,16,0,,,,,2018_Oct_25_1624,59.596551778,HeartBeat1,001,Walter,
heart120.wav,120,8,1,17,0,,,,,2018_Oct_25_1624,59.596551778,HeartBeat1,001,Walter,
heart60_1.wav,60,9,0,18,1,,,,,2018_Oct_25_1624,59.596551778,HeartBeat1,001,Walter,
heart120.wav,120,9,1,19,0,,,,,2018_Oct_25_1624,59.596551778,HeartBeat1,001,Walter,
heart60_1.wav,60,10,0,20,1,,,,,2018_Oct_25_1624,59.596551778,HeartBeat1,001,Walter,
heart120.wav,120,10,1,21,0,,,,,2018_Oct_25_1624,59.596551778,HeartBeat1,001,Walter,
heart60_1.wav,60,11,0,22,1,,,,,2018_Oct_25_1624,59.596551778,HeartBeat1,001,Walter,
heart120.wav,120,11,1,23,0,,,,,2018_Oct_25_1624,59.596551778,HeartBeat1,001,Walter,
heart60_1.wav,60,12,0,24,1,,,,,2018_Oct_25_1624,59.596551778,HeartBeat1,001,Walter,
heart60_1.wav,60,12,1,25,1,,,,,2018_Oct_25_1624,59.596551778,HeartBeat1,001,Walter,
heart60_1.wav,60,13,0,26,1,,,,,2018_Oct_25_1624,59.596551778,HeartBeat1,001,Walter,
heart60_1.wav,60,13,1,27,1,,,,,2018_Oct_25_1624,59.596551778,HeartBeat1,001,Walter,
heart60_1.wav,60,14,0,28,1,,,,,2018_Oct_25_1624,59.596551778,HeartBeat1,001,Walter,
heart120.wav,120,14,1,29,0,,,,,2018_Oct_25_1624,59.596551778,HeartBeat1,001,Walter,
,,,,,,,,space,11.4595639706,2018_Oct_25_1624,59.596551778,HeartBeat1,001,Walter,
