Sound,marker,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,intro.keys,intro.rt,EndKey.keys,EndKey.rt,date,frameRate,expName,session,participant,
,,,,,,space,1.70533108711,,,2018_Oct_22_1530,59.6057833599,HeartBeat1,001,,
heart60.wav,60,0,0,0,1,,,,,2018_Oct_22_1530,59.6057833599,HeartBeat1,001,,
heart120.wav,120,0,1,1,0,,,,,2018_Oct_22_1530,59.6057833599,HeartBeat1,001,,
heart60.wav,60,1,0,2,1,,,,,2018_Oct_22_1530,59.6057833599,HeartBeat1,001,,
heart120.wav,120,1,1,3,0,,,,,2018_Oct_22_1530,59.6057833599,HeartBeat1,001,,
heart60.wav,60,2,0,4,1,,,,,2018_Oct_22_1530,59.6057833599,HeartBeat1,001,,
heart60.wav,60,2,1,5,1,,,,,2018_Oct_22_1530,59.6057833599,HeartBeat1,001,,
heart120.wav,120,3,0,6,0,,,,,2018_Oct_22_1530,59.6057833599,HeartBeat1,001,,
heart60.wav,60,3,1,7,1,,,,,2018_Oct_22_1530,59.6057833599,HeartBeat1,001,,
heart120.wav,120,4,0,8,0,,,,,2018_Oct_22_1530,59.6057833599,HeartBeat1,001,,
heart120.wav,120,4,1,9,0,,,,,2018_Oct_22_1530,59.6057833599,HeartBeat1,001,,
,,,,,,,,space,6.43537306786,2018_Oct_22_1530,59.6057833599,HeartBeat1,001,,
