3.6238 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, args=UNKNOWN, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', color=array([ 0.,  0.,  0.]), colorSpace='rgb', fullscr=UNKNOWN, gamma=None, kwargs=UNKNOWN, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x11c02cc90>, multiSample=False, name='window1', numSamples=2, pos=[0, 0], screen=0, size=array([1680, 1050]), stereo=False, units=u'norm', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType=u'pyglet')
3.6239 	EXP 	window1: recordFrameIntervals = False
3.7896 	EXP 	window1: recordFrameIntervals = True
3.9734 	EXP 	window1: recordFrameIntervals = False
4.0384 	EXP 	Created text = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='text', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=newstr(...), units=u'norm', win=Window(...), wrapWidth=1)
4.0495 	EXP 	Sound  set volume 1.000
4.0506 	EXP 	Created Wait3 = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='Wait3', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text='', units=u'norm', win=Window(...), wrapWidth=1)
4.0595 	EXP 	Created EndText = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='EndText', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text='Thanks for participating!\n', units=u'norm', win=Window(...), wrapWidth=1)
4.0740 	EXP 	text: autoDraw = True
5.7788 	DATA 	Keypress: space
5.7913 	EXP 	Imported Exp1Conditions.xlsx as conditions, 2 conditions, 2 params
5.7917 	EXP 	Created sequence: fullRandom, trialTypes=2, nReps=5, seed=None
5.7920 	EXP 	New trial (rep=0, index=0): OrderedDict([(u'Sound', u'heart60.wav'), (u'marker', 60)])
5.8215 	EXP 	text: autoDraw = False
5.8215 	EXP 	Wait3: autoDraw = True
8.8069 	EXP 	New trial (rep=0, index=1): OrderedDict([(u'Sound', u'heart120.wav'), (u'marker', 120)])
8.8396 	EXP 	Wait3: autoDraw = False
8.8396 	EXP 	Wait3: autoDraw = False
8.8396 	EXP 	Wait3: autoDraw = True
11.8225 	EXP 	New trial (rep=1, index=0): OrderedDict([(u'Sound', u'heart60.wav'), (u'marker', 60)])
11.8382 	EXP 	Wait3: autoDraw = False
11.8382 	EXP 	Wait3: autoDraw = False
11.8382 	EXP 	Wait3: autoDraw = True
14.8237 	EXP 	New trial (rep=1, index=1): OrderedDict([(u'Sound', u'heart120.wav'), (u'marker', 120)])
14.8381 	EXP 	Wait3: autoDraw = False
14.8381 	EXP 	Wait3: autoDraw = False
14.8381 	EXP 	Wait3: autoDraw = True
17.8232 	EXP 	New trial (rep=2, index=0): OrderedDict([(u'Sound', u'heart60.wav'), (u'marker', 60)])
17.8386 	EXP 	Wait3: autoDraw = False
17.8386 	EXP 	Wait3: autoDraw = False
17.8386 	EXP 	Wait3: autoDraw = True
20.8232 	EXP 	New trial (rep=2, index=1): OrderedDict([(u'Sound', u'heart60.wav'), (u'marker', 60)])
20.8391 	EXP 	Wait3: autoDraw = False
20.8391 	EXP 	Wait3: autoDraw = False
20.8391 	EXP 	Wait3: autoDraw = True
23.8240 	EXP 	New trial (rep=3, index=0): OrderedDict([(u'Sound', u'heart120.wav'), (u'marker', 120)])
23.8390 	EXP 	Wait3: autoDraw = False
23.8390 	EXP 	Wait3: autoDraw = False
23.8390 	EXP 	Wait3: autoDraw = True
26.8238 	EXP 	New trial (rep=3, index=1): OrderedDict([(u'Sound', u'heart60.wav'), (u'marker', 60)])
26.8561 	EXP 	Wait3: autoDraw = False
26.8561 	EXP 	Wait3: autoDraw = False
26.8561 	EXP 	Wait3: autoDraw = True
29.8239 	EXP 	New trial (rep=4, index=0): OrderedDict([(u'Sound', u'heart120.wav'), (u'marker', 120)])
29.8383 	EXP 	Wait3: autoDraw = False
29.8383 	EXP 	Wait3: autoDraw = False
29.8383 	EXP 	Wait3: autoDraw = True
32.8234 	EXP 	New trial (rep=4, index=1): OrderedDict([(u'Sound', u'heart120.wav'), (u'marker', 120)])
32.8561 	EXP 	Wait3: autoDraw = False
32.8561 	EXP 	Wait3: autoDraw = False
32.8561 	EXP 	Wait3: autoDraw = True
35.8561 	EXP 	Wait3: autoDraw = False
35.8561 	EXP 	Wait3: autoDraw = False
35.8561 	EXP 	EndText: autoDraw = True
42.2910 	DATA 	Keypress: space
42.5818 	EXP 	window1: mouseVisible = True
