3.3584 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, args=UNKNOWN, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', color=array([ 0.,  0.,  0.]), colorSpace='rgb', fullscr=UNKNOWN, gamma=None, kwargs=UNKNOWN, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x1214d0c90>, multiSample=False, name='window1', numSamples=2, pos=[0, 0], screen=0, size=array([1680, 1050]), stereo=False, units=u'norm', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType=u'pyglet')
3.3585 	EXP 	window1: recordFrameIntervals = False
3.5253 	EXP 	window1: recordFrameIntervals = True
3.7068 	EXP 	window1: recordFrameIntervals = False
3.7731 	EXP 	Created text = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='text', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=newstr(...), units=u'norm', win=Window(...), wrapWidth=1)
3.7851 	EXP 	Sound  set volume 1.000
3.7862 	EXP 	Created Wait3 = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='Wait3', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text='', units=u'norm', win=Window(...), wrapWidth=1)
3.7950 	EXP 	Created EndText = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='EndText', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text='Thanks for participating!\n', units=u'norm', win=Window(...), wrapWidth=1)
3.8093 	EXP 	text: autoDraw = True
4.9798 	DATA 	Keypress: space
4.9920 	EXP 	Imported Exp1Conditions.xlsx as conditions, 2 conditions, 2 params
4.9924 	EXP 	Created sequence: fullRandom, trialTypes=2, nReps=5, seed=None
4.9927 	EXP 	New trial (rep=0, index=0): OrderedDict([(u'Sound', u'heart120.wav'), (u'marker', 120)])
5.0246 	EXP 	text: autoDraw = False
5.0246 	EXP 	Wait3: autoDraw = True
8.0084 	EXP 	New trial (rep=0, index=1): OrderedDict([(u'Sound', u'heart120.wav'), (u'marker', 120)])
8.0406 	EXP 	Wait3: autoDraw = False
8.0406 	EXP 	Wait3: autoDraw = False
8.0406 	EXP 	Wait3: autoDraw = True
11.0243 	EXP 	New trial (rep=1, index=0): OrderedDict([(u'Sound', u'heart60.wav'), (u'marker', 60)])
11.0405 	EXP 	Wait3: autoDraw = False
11.0405 	EXP 	Wait3: autoDraw = False
11.0405 	EXP 	Wait3: autoDraw = True
14.0251 	EXP 	New trial (rep=1, index=1): OrderedDict([(u'Sound', u'heart60.wav'), (u'marker', 60)])
14.0402 	EXP 	Wait3: autoDraw = False
14.0402 	EXP 	Wait3: autoDraw = False
14.0402 	EXP 	Wait3: autoDraw = True
17.0248 	EXP 	New trial (rep=2, index=0): OrderedDict([(u'Sound', u'heart60.wav'), (u'marker', 60)])
17.0402 	EXP 	Wait3: autoDraw = False
17.0402 	EXP 	Wait3: autoDraw = False
17.0402 	EXP 	Wait3: autoDraw = True
20.0247 	EXP 	New trial (rep=2, index=1): OrderedDict([(u'Sound', u'heart120.wav'), (u'marker', 120)])
20.0571 	EXP 	Wait3: autoDraw = False
20.0571 	EXP 	Wait3: autoDraw = False
20.0571 	EXP 	Wait3: autoDraw = True
23.0253 	EXP 	New trial (rep=3, index=0): OrderedDict([(u'Sound', u'heart120.wav'), (u'marker', 120)])
23.0577 	EXP 	Wait3: autoDraw = False
23.0577 	EXP 	Wait3: autoDraw = False
23.0577 	EXP 	Wait3: autoDraw = True
26.0250 	EXP 	New trial (rep=3, index=1): OrderedDict([(u'Sound', u'heart60.wav'), (u'marker', 60)])
26.0404 	EXP 	Wait3: autoDraw = False
26.0404 	EXP 	Wait3: autoDraw = False
26.0404 	EXP 	Wait3: autoDraw = True
29.0251 	EXP 	New trial (rep=4, index=0): OrderedDict([(u'Sound', u'heart60.wav'), (u'marker', 60)])
29.0403 	EXP 	Wait3: autoDraw = False
29.0403 	EXP 	Wait3: autoDraw = False
29.0403 	EXP 	Wait3: autoDraw = True
32.0245 	EXP 	New trial (rep=4, index=1): OrderedDict([(u'Sound', u'heart120.wav'), (u'marker', 120)])
32.0576 	EXP 	Wait3: autoDraw = False
32.0576 	EXP 	Wait3: autoDraw = False
32.0576 	EXP 	Wait3: autoDraw = True
35.0406 	EXP 	Wait3: autoDraw = False
35.0406 	EXP 	Wait3: autoDraw = False
35.0406 	EXP 	EndText: autoDraw = True
45.0426 	DATA 	Keypress: space
45.3306 	EXP 	window1: mouseVisible = True
