pic,sound,c1,c2,c3,c4,answerNum,answer,trialsListen.thisRepN,trialsListen.thisTrialN,trialsListen.thisN,trialsListen.thisIndex,intro.keys,intro.rt,Answer1.keys,IsCorrect,Answer1.rt,rating.response,rating.rt,date,frameRate,expName,session,participant,
,,,,,,,,,,,,space,0.854717969894,,,,,,2018_Dec_12_2258,60.001688051,HeartBeat3,001,,
blank.png,heart120_1.wav,playful,comforting,irritated,bored,1,playful,0,0,0,0,,,3,True,7.00023603439,5,3.579,2018_Dec_12_2258,60.001688051,HeartBeat3,001,,
blank.png,heart120_1.wav,irritated,dissapointed,depressed,accusing,4,accusing,0,1,1,13,,,3,False,0.516045093536,5,3.93,2018_Dec_12_2258,60.001688051,HeartBeat3,001,,
blank.png,heart120_1.wav,joking,insisting,amused,relaxed,2,insisting,0,2,2,3,,,4,False,1.04995894432,5,3.945,2018_Dec_12_2258,60.001688051,HeartBeat3,001,,
blank.png,heart120_1.wav,decisive ,anticipating,threatening,shy,2,anticipating,0,3,3,12,,,3,True,0.553156137466,5,2.797,2018_Dec_12_2258,60.001688051,HeartBeat3,001,,
blank.png,heart120_1.wav,despondent,relieved ,shy,excited,1,despondent,0,4,4,7,,,4,False,1.45037698746,5,2.265,2018_Dec_12_2258,60.001688051,HeartBeat3,001,,
blank.png,heart120_1.wav,ashamed,confident,joking,dispirited,2,confident,0,5,5,30,,,4,False,0.0341429710388,4,3.378,2018_Dec_12_2258,60.001688051,HeartBeat3,001,,
blank.png,heart120_1.wav,grateful,flirtatious,hostile,disapointed,2,flirtatious,0,6,6,29,,,4,False,0.753133058548,5,2.395,2018_Dec_12_2258,60.001688051,HeartBeat3,001,,
blank.png,heart120_1.wav,preoccupied,grateful,insisting,implorign,1,preoccupied,0,7,7,21,,,4,True,6.63152503967,5,2.608,2018_Dec_12_2258,60.001688051,HeartBeat3,001,,
blank.png,heart120_1.wav,indifferent,embasassed,skeptical,dispirited,3,skeptical,0,8,8,11,,,3,False,1.55146694183,4,2.263,2018_Dec_12_2258,60.001688051,HeartBeat3,001,,
blank.png,heart120_1.wav,contented,apologetic,defiant,curious,3,defiant,0,9,9,22,,,3,False,6.93208384514,4,2.293,2018_Dec_12_2258,60.001688051,HeartBeat3,001,,
