pic,sound,c1,c2,c3,c4,answerNum,answer,trialsListen.thisRepN,trialsListen.thisTrialN,trialsListen.thisN,trialsListen.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,marker,intro.keys,intro.rt,Answer1.keys,IsCorrect,Answer1.rt,rating.response,rating.rt,date,frameRate,expName,session,participant,
,,,,,,,,,,,,,,,,,space,0.790284156799,,,,,,2018_Dec_13_0001,60.3515214129,HeartBeat3,001,,
blank.png,heart120_1.wav,ashamed,confident,joking,dispirited,2,confident,0,0,0,30,,,,,,,,1,False,0.498134851456,2,1.835,2018_Dec_13_0001,60.3515214129,HeartBeat3,001,,
blank.png,heart120_1.wav,terrified,upset,arrogant,annoyed,2,upset,0,1,1,1,,,,,,,,1,False,0.514336824417,2,2.913,2018_Dec_13_0001,60.3515214129,HeartBeat3,001,,
blank.png,heart120_1.wav,puzzled,nervous,insisting,contemplative,2,contemplative,0,2,2,34,,,,,,,,1,False,0.536099910736,2,0.846,2018_Dec_13_0001,60.3515214129,HeartBeat3,001,,
blank.png,heart120_1.wav,aghast,fantasizing,impatient,alarmed,2,fantasizing,0,3,3,5,,,,,,,,1,True,0.346593141556,2,0.679,2018_Dec_13_0001,60.3515214129,HeartBeat3,001,,
blank.png,heart120_1.wav,indifferent,embasassed,skeptical,dispirited,3,skeptical,0,4,4,11,,,,,,,,1,True,0.319951057434,2,0.647,2018_Dec_13_0001,60.3515214129,HeartBeat3,001,,
blank.png,heart120_1.wav,embarassed ,guilty,fantasizing,concerned,4,concerned,0,5,5,32,,,,,,,,1,False,0.433261871338,2,0.813,2018_Dec_13_0001,60.3515214129,HeartBeat3,001,,
blank.png,heart120_1.wav,aghast,baffled,distrustful,terrified,3,distrustful,0,6,6,33,,,,,,,,1,True,0.350067853928,2,0.628,2018_Dec_13_0001,60.3515214129,HeartBeat3,001,,
blank.png,heart120_1.wav,grateful,flirtatious,hostile,disapointed,2,flirtatious,0,7,7,29,,,,,,,,1,False,0.502852916718,2,0.597,2018_Dec_13_0001,60.3515214129,HeartBeat3,001,,
blank.png,heart120_1.wav,irritated,dissapointed,depressed,accusing,4,accusing,0,8,8,13,,,,,,,,1,False,0.369729042053,2,0.712,2018_Dec_13_0001,60.3515214129,HeartBeat3,001,,
blank.png,heart120_1.wav,decisive ,anticipating,threatening,shy,2,anticipating,0,9,9,12,,,,,,,,1,False,0.418701887131,2,0.913,2018_Dec_13_0001,60.3515214129,HeartBeat3,001,,
blank.png,heart120_1.wav,serious,ashemed,bewildered,alarmed,1,serious,0,10,10,31,,,,,,,,1,False,0.384450912476,2,0.663,2018_Dec_13_0001,60.3515214129,HeartBeat3,001,,
blank.png,heart120_1.wav,contented,apologetic,defiant,curious,3,defiant,0,11,11,22,,,,,,,,1,True,0.303681135178,2,0.611,2018_Dec_13_0001,60.3515214129,HeartBeat3,001,,
blank.png,heart120_1.wav,joking,flustered,desire,convinced,3,desire,0,12,12,2,,,,,,,,1,False,0.319289922714,2,0.662,2018_Dec_13_0001,60.3515214129,HeartBeat3,001,,
blank.png,heart120_1.wav,arrogant,grateful,sarcastic,tentative,4,tentative,0,13,13,18,,,,,,,,1,True,0.337510108948,2,0.63,2018_Dec_13_0001,60.3515214129,HeartBeat3,001,,
blank.png,heart120_1.wav,joking,insisting,amused,relaxed,2,insisting,0,14,14,3,,,,,,,,1,False,0.401822090149,2,0.547,2018_Dec_13_0001,60.3515214129,HeartBeat3,001,,
blank.png,heart120_1.wav,dominant,horrified,guilty,friendly,4,friendly,0,15,15,19,,,,,,,,1,False,0.317115068436,2,0.563,2018_Dec_13_0001,60.3515214129,HeartBeat3,001,,
blank.png,heart120_1.wav,pensive,irritated,excited,hostile,1,pensive,0,16,16,23,,,,,,,,1,False,0.453517198563,2,0.646,2018_Dec_13_0001,60.3515214129,HeartBeat3,001,,
blank.png,heart120_1.wav,annoyed,hostile,horrified,preoccupied,4,preoccupied,0,17,17,8,,,,,,,,1,True,0.483933925629,2,0.662,2018_Dec_13_0001,60.3515214129,HeartBeat3,001,,
blank.png,heart120_1.wav,preoccupied,grateful,insisting,implorign,1,preoccupied,0,18,18,21,,,,,,,,1,False,0.266587972641,2,0.579,2018_Dec_13_0001,60.3515214129,HeartBeat3,001,,
blank.png,heart120_1.wav,joking,cautious,arrogant,reassuring,2,cautious,0,19,19,26,,,,,,,,1,True,0.333154916763,2,0.595,2018_Dec_13_0001,60.3515214129,HeartBeat3,001,,
blank.png,heart120_1.wav,playful,comforting,irritated,bored,1,playful,0,20,20,0,,,,,,,,1,False,0.300362825394,2,0.813,2018_Dec_13_0001,60.3515214129,HeartBeat3,001,,
blank.png,heart120_1.wav,impatient,aghast,irritated,reflective,4,reflective,0,21,21,28,,,,,,,,1,False,0.385272979736,2,0.846,2018_Dec_13_0001,60.3515214129,HeartBeat3,001,,
blank.png,heart120_1.wav,irritated,thoughtful,encouraging,sympathetic,2,thoughtful,0,22,22,15,,,,,,,,1,True,0.3351790905,2,0.629,2018_Dec_13_0001,60.3515214129,HeartBeat3,001,,
blank.png,heart120_1.wav,panicked,incredulous,despondent,interested,4,interested,0,23,23,24,,,,,,,,1,False,0.334829092026,2,0.646,2018_Dec_13_0001,60.3515214129,HeartBeat3,001,,
blank.png,heart120_1.wav,alarmed,shy,hostile,anxious,3,hostile,0,24,24,25,,,,,,,,1,False,0.318725824356,2,0.546,2018_Dec_13_0001,60.3515214129,HeartBeat3,001,,
blank.png,heart120_1.wav,terrified,amused,regretful,flirtatious,3,regretful,0,25,25,10,,,,,,,,1,False,0.48396396637,2,0.53,2018_Dec_13_0001,60.3515214129,HeartBeat3,001,,
blank.png,heart120_1.wav,interested,joking,affectionate,contented,1,interested,0,26,26,27,,,,,,,,1,False,0.452818155289,2,0.645,2018_Dec_13_0001,60.3515214129,HeartBeat3,001,,
blank.png,heart120_1.wav,contemplative,flustered,encouraging,amused,1,contemplative,0,27,27,14,,,,,,,,1,False,0.519170045853,2,0.615,2018_Dec_13_0001,60.3515214129,HeartBeat3,001,,
blank.png,heart120_1.wav,apologetic,friendly,uneasy,dispirited,3,uneasy,0,28,28,6,,,,,,,,1,False,0.569234132767,2,0.69,2018_Dec_13_0001,60.3515214129,HeartBeat3,001,,
blank.png,heart120_1.wav,doubtful,affectionate,playful,aghast,1,doubtful,0,29,29,16,,,,,,,,1,False,0.419075012207,2,0.631,2018_Dec_13_0001,60.3515214129,HeartBeat3,001,,
blank.png,heart120_1.wav,ashamed,nervous,suspicious,indecisive,3,suspicious,0,30,30,35,,,,,,,,1,False,0.419056892395,2,0.764,2018_Dec_13_0001,60.3515214129,HeartBeat3,001,,
blank.png,heart120_1.wav,embarassed ,fantasizing,confused,panicked ,2,fantasizing,0,31,31,20,,,,,,,,1,True,0.601311922073,2,0.795,2018_Dec_13_0001,60.3515214129,HeartBeat3,001,,
blank.png,heart120_1.wav,despondent,relieved ,shy,excited,1,despondent,0,32,32,7,,,,,,,,1,False,1.88613891602,2,1.99,2018_Dec_13_0001,60.3515214129,HeartBeat3,001,,
blank.png,heart120_1.wav,irritated,sarcastic,worried,friendly,3,worried,0,33,33,4,,,,,,,,1,False,3.48565602303,2,0.991,2018_Dec_13_0001,60.3515214129,HeartBeat3,001,,
blank.png,heart120_1.wav,cautious,insisting,bored,aghast,1,cautious,0,34,34,9,,,,,,,,1,False,0.384245872498,2,2.429,2018_Dec_13_0001,60.3515214129,HeartBeat3,001,,
blank.png,heart120_1.wav,amused,decisive,aghast,bored,2,decisive,0,35,35,17,,,,,,,,1,True,5.50147485733,2,1.409,2018_Dec_13_0001,60.3515214129,HeartBeat3,001,,
